Chassis No,Name,Inventory Count,Color,Motor No,Controller No,Date,Battery No,Charger No,HSN Code,mng_id,order id
M72RERND25B000014,METRO RICKSHAW,1,RED,REYM0014,REYC0014,10-02-2025,TK5110528,TK511056,87039010,42,61
M72RERND25B000015,METRO RICKSHAW,1,RED,REYM0015,REYC001,10-02-2025,TK5110529,TK511057,,42,61
