Chassis No,Name,Inventory Count,Color,Motor No,Controller No,Date,Battery No,Charger No,HSN Code,mng_id,order id
M72RERND25B000057,E CART LOADER,1,GREEN,REYM0057,REYC0057,27-02-2025,TK511050057,ABCD12345,8739010,52,88
M72RERND25B000058,E CART LOADER,1,BLACK,REYM0058,REYC0058,27-02-2025,TK511050058,ABCD123456,8739010,52,88
 , , , ,,,,,,,,
 , , , ,,,,,,,,
 , , , ,,,,,,,,
,, ,,,,,,,,,
