Chassis No,Name,Inventory Count,Color,Motor No,Controller No,Date,Battery No,Charger No,HSN Code,mng_id,order id
 M72RERND25B000088,Metri Rickshaw,1,RED,REYM2236,RECM1121,21-02-2025,FGH8526,TYGHR84596,YTGRY5623,52,80
 M72RERND25B000089,Metri Rickshaw,1,RED,REYM2237,RECM1122,21-02-2025,FGH8526,TYGHR84596,YTGRY5623,52,80
 M72RERND25B000090,Metri Rickshaw,1,BLUE,REYM2238,RECM1123,21-02-2025,FGH8526,TYGHR84596,YTGRY5623,52,80
 M72RERND25B000091,Metri Rickshaw,1,BLUE,REYM2239,RECM1124,21-02-2025,FGH8526,TYGHR84596,YTGRY5623,52,80
 M72RERND25B000092,Metri Rickshaw,1,GREEN,REYM2240,RECM1125,21-02-2025,FGH8526,TYGHR84596,YTGRY5623,52,80
 M72RERND25B000093,Metri Rickshaw,1,GREEN,REYM2241,RECM1126,21-02-2025,FGH8526,TYGHR84596,YTGRY5623,52,80
 M72RERND25B000094,Metri Rickshaw,1,BLACK,REYM2242,RECM1127,21-02-2025,FGH8526,TYGHR84596,YTGRY5623,52,80
 M72RERND25B000095,Metri Rickshaw,1,BLACK,REYM2243,RECM1128,21-02-2025,FGH8526,TYGHR84596,YTGRY5623,52,80
