Chassis No,Name,Inventory Count,Color,Motor No,Controller No,Date,Battery No,Charger No,HSN Code,mng_id,order id
M72RERND25B000059,SCOOTY,1,WHITE,REYM0059,REYC0059,27-02-2025,TK511050059,ABCD12345678,8739010,52,89
M72RERND25B000060,SCOOTY,1,YELLOW,REYM0060,REYC0060,27-02-2025,TK511050060,ABCD123456789,8739010,52,89
 , , , ,,,,,,,,
 , , , ,,,,,,,,
 , , , ,,,,,,,,
,, ,,,,,,,,,
